LL(1)分析表	-		void		int		(		)		,		{		}		;		=		+		*		/		if		else		<		>		==		!=		while		return		<标识符>		<无符号整数>		#	
<函数>       	-1		0		0		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
<整数>       	2		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		1		-1	
<返回类型> 	-1		3		4		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
<参数列表> 	-1		-1		-1		5		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
<参数串>    	-1		-1		6		-1		7		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
<参数>       	-1		-1		8		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
<参数串循环>	-1		-1		-1		-1		10		9		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
<复合语句> 	-1		-1		-1		-1		-1		-1		11		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
<变量声明表>	-1		-1		13		-1		-1		-1		-1		12		-1		-1		-1		-1		-1		12		-1		-1		-1		-1		-1		12		12		12		-1		-1	
<int变量声明>	-1		-1		14		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
<int变量初始值>	-1		-1		-1		-1		-1		-1		-1		-1		15		16		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
<语句序列> 	-1		-1		-1		-1		-1		-1		-1		17		-1		-1		-1		-1		-1		19		-1		-1		-1		-1		-1		20		21		18		-1		-1	
<赋值语句> 	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		22		-1		-1	
<表达式>    	-1		-1		-1		23		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		23		23		-1	
<加减表达式>	25		-1		-1		-1		26		-1		-1		-1		26		-1		24		-1		-1		-1		-1		26		26		26		26		-1		-1		-1		-1		-1	
<乘除表达式>	-1		-1		-1		27		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		27		27		-1	
<乘除表达式扩展>	30		-1		-1		-1		30		-1		-1		-1		30		-1		30		28		29		-1		-1		30		30		30		30		-1		-1		-1		-1		-1	
<因子>       	-1		-1		-1		33		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		31		32		-1	
<条件语句> 	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		34		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1	
<else语句>   	-1		-1		-1		-1		-1		-1		-1		36		-1		-1		-1		-1		-1		36		35		-1		-1		-1		-1		36		36		36		-1		-1	
<条件>       	-1		-1		-1		37		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		37		37		-1	
<比较语句> 	-1		-1		-1		-1		39		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		38		38		38		38		-1		-1		-1		-1		-1	
<关系运算符>	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		40		41		42		43		-1		-1		-1		-1		-1	
<循环语句> 	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		44		-1		-1		-1		-1	
<返回语句> 	-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		45		-1		-1		-1	
<返回内容> 	-1		-1		-1		47		-1		-1		-1		-1		46		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		47		47		-1	
